Results loss of generation Area 1
---------------------------------
t=1;H_0=179395.76;Ploss=1544.7413415248675;rg=66.8534804444444;rh=270.83333333333303;re=900.0;rs=307.0545277470901;RoCoF=0.21527004617122325;MaxDeltaF=0.0917732638585768;
t=2;H_0=223062.72000000003;Ploss=1627.074868938379;rg=133.52364333333327;rh=250.83333333333306;re=592.7178922717127;rs=650.0;RoCoF=0.18235620781213224;MaxDeltaF=0.13107028346412758;
t=3;H_0=207265.59999999998;Ploss=1580.9222626827752;rg=82.6926011111111;rh=210.83333333333317;re=900.0;rs=387.39632823833097;RoCoF=0.19068797025203116;MaxDeltaF=0.09427450076689704;
t=4;H_0=218746.08000000002;Ploss=1548.241702475328;rg=0.0;rh=195.83333333333317;re=900.0;rs=452.40835900936884;RoCoF=0.1769450797101516;MaxDeltaF=Inf;
t=5;H_0=223650.12;Ploss=1616.6449004355002;rg=131.22506444444446;rh=140.83333631631317;re=900.0;rs=444.58649967474264;RoCoF=0.18071138307856713;MaxDeltaF=0.12867212813865916;
t=6;H_0=262603.92;Ploss=1951.711615111111;rg=265.87828177777783;rh=135.8333333333333;re=900.0;rs=650.0;RoCoF=0.1858037396310679;MaxDeltaF=0.2094307470843882;
t=7;H_0=272368.88000000006;Ploss=2270.5484518626026;rg=276.2399893333333;rh=165.83333333333292;re=900.0;rs=928.4751291959363;RoCoF=0.20840747774329085;MaxDeltaF=0.21201985013482397;
t=8;H_0=272368.88000000006;Ploss=2445.7918418545896;rg=276.2399893333333;rh=167.07238583241826;re=900.0;rs=1102.4794666888379;RoCoF=0.22449259271604277;MaxDeltaF=0.21362836163209928;
t=9;H_0=272368.88000000006;Ploss=2683.6305387085604;rg=276.2399893333333;rh=1449.4637720418941;re=900.0;rs=57.92677733333296;RoCoF=0.24632316095625167;MaxDeltaF=0.21581141845612004;
t=10;H_0=272368.88000000006;Ploss=2593.1505728560564;rg=276.2399893333333;rh=165.83333333333292;re=900.0;rs=1251.0772501893903;RoCoF=0.23801825054830564;MaxDeltaF=0.2149809274153252;
t=11;H_0=212178.88;Ploss=2424.552429939484;rg=225.1453671111111;rh=1136.2796354817792;re=900.0;rs=163.12742734659383;RoCoF=0.28567315817901906;MaxDeltaF=0.22858676026234656;
t=12;H_0=203343.24;Ploss=2424.4149627888414;rg=215.76977133333335;rh=165.833333333333;re=900.0;rs=1142.8118581221752;RoCoF=0.29806928457381243;MaxDeltaF=0.22982637290182548;
t=13;H_0=203343.24;Ploss=2519.705203812991;rg=215.76977133333335;rh=1153.1130375586195;re=900.0;rs=250.82239492103807;RoCoF=0.3097847270227659;MaxDeltaF=0.23099791714672124;
t=14;H_0=203343.24;Ploss=2713.995725170076;rg=215.76977133333335;rh=413.7870626308098;re=900.0;rs=1184.438891205933;RoCoF=0.33367174207144484;MaxDeltaF=0.23338661865158888;
t=15;H_0=205250.16000000003;Ploss=2908.804553345269;rg=217.79322533333334;rh=1400.0001000000009;re=900.0;rs=391.01122801193486;RoCoF=0.35429991301167174;MaxDeltaF=0.23544943574561158;
t=16;H_0=205250.16000000003;Ploss=3114.7199287779263;rg=217.79322533333334;rh=1520.8334333333332;re=900.0;rs=476.09327011125976;RoCoF=0.37938093797075795;MaxDeltaF=0.2379575382415202;
t=17;H_0=203343.24;Ploss=3244.888654958836;rg=215.76977133333335;rh=1018.8074739483067;re=900.0;rs=1110.3114096771958;RoCoF=0.39894228288076317;MaxDeltaF=0.23991367273252115;
t=18;H_0=203343.24;Ploss=3308.862362;rg=215.76977133333335;rh=930.8309333333341;re=900.0;rs=1262.2616573333326;RoCoF=0.406807519394301;MaxDeltaF=0.24070019638387433;
t=19;H_0=205250.16000000003;Ploss=3157.2209786703575;rg=217.79322533333334;rh=1400.0001000000002;re=900.0;rs=639.4276533370239;RoCoF=0.3845576757005156;MaxDeltaF=0.23847521201449598;
t=20;H_0=205250.16000000003;Ploss=2836.1677383844485;rg=217.79322533333334;rh=1520.8334333333332;re=900.0;rs=197.54107971778177;RoCoF=0.3454525612043918;MaxDeltaF=0.23456470056488402;
